HIP,RAhms,DEdms,Vmag,SpType,HD
1686,"00 21 07.23","+37 58 07.3",5.16,"F5III",1671
1706,"00 21 28.74","-77 25 36.7",5.96,"K3III",1801
1708,"00 21 31.18","-28 58 52.7",5.18,"K0III",1737
1715,"00 21 35.07","+38 11 13.8",6.86,"K0",1712
1725,"00 21 42.44","+67 49 22.9",6.55,"K0",1695
1728,"00 21 46.23","-20 03 28.8",5.61,"M5/M6Ib/II",1760
1766,"00 22 21.22","-50 59 33.4",6.68,"K2III",1817
1772,"00 22 25.45","+13 28 56.8",6.25,"K3III",1796
1795,"00 22 47.96","-39 15 44.5",6.75,"F2IV",1856
1799,"00 22 49.82","+29 27 15.5",6.95,"A3",1826
1803,"00 22 51.55","-12 12 34.5",6.39,"G3V",1835
1809,"00 22 57.36","+38 45 15.4",6.69,"M4III:",1831
1821,"00 23 04.35","-15 56 33.4",6.43,"M0III",1879
1830,"00 23 12.59","-31 02 08.8",6.55,"B9IV",1909
1849,"00 23 22.13","-29 50 49.8",6.81,"M2III",1923
1892,"00 23 53.32","+60 57 41.9",6.57,"F2",1917
1905,"00 24 05.27","+44 15 53.1",6.66,"F2",1952
1921,"00 24 15.64","+52 01 11.7",5.58,"B5IV",1976
1939,"00 24 29.67","-02 13 08.3",6.08,"K1III",2023
1948,"00 24 38.15","+14 18 55.9",6.48,"K0",2035
1952,"00 24 39.67","+31 22 23.1",6.76,"B9",2019
1955,"00 24 44.31","-51 02 35.7",6.81,"G3IV",2070
1960,"00 24 47.49","+61 49 51.8",5.38,"B9III",2011
1962,"00 24 49.64","-18 28 18.2",6.9,"K3III",2066
1982,"00 25 06.39","+53 02 48.4",5.72,"B9IV",2054
2001,"00 25 22.08","-39 15 36.6",6.91,"G8IV:",2132
2006,"00 25 24.22","+01 56 23.0",5.77,"G5III",2114
2021,"00 25 39.20","-77 15 18.1",2.82,"G2IV",2151
2024,"00 25 41.75","+54 59 39.2",6.78,"K2",2112
2025,"00 25 41.89","+07 41 28.4",6.77,"K0",2140
2032,"00 25 45.59","-27 42 36.4",6.88,"K2III",2199
2036,"00 25 51.24","+71 48 25.6",6.91,"B1V",2083
2058,"00 26 03.69","+20 08 48.6",6.67,"B8",2191
2074,"00 26 12.10","+56 46 45.6",6.71,"G5III",2170
2072,"00 26 12.12","-43 40 47.7",3.93,"A7V",2262
2080,"00 26 16.49","+03 49 32.7",6.9,"B8",2235
2081,"00 26 16.87","-42 18 18.4",2.4,"K0III...",2261
2086,"00 26 21.74","-18 41 37.0",6.24,"M1III",2268
2087,"00 26 21.81","+49 02 56.4",6.94,"K0",2219
2100,"00 26 37.37","-00 02 58.3",6.16,"G8III",2273
2101,"00 26 39.45","+56 38 28.3",6.58,"B9V",2244
2106,"00 26 41.91","-69 18 25.4",6.98,"K4III",2354
2135,"00 27 04.51","+25 02 31.6",6.66,"F7IV",2302
2142,"00 27 07.31","+80 03 07.7",6.53,"B9",2169
2151,"00 27 12.45","+49 59 08.6",6.95,"B9",2301
2159,"00 27 14.69","-25 32 49.7",5.99,"K0III",2363
2178,"00 27 31.02","+16 01 31.7",6.44,"A5",2358
2184,"00 27 37.54","-20 08 04.3",6.78,"A9V",2395
2210,"00 27 55.71","-33 00 25.4",4.86,"M2/M3III",2429
2213,"00 27 58.48","+19 30 50.7",6.4,"K0",2410
2219,"00 28 02.84","+17 53 35.1",5.01,"M3IIIvar",2411
2224,"00 28 12.69","+16 26 42.4",6.05,"K5III",2436
2225,"00 28 13.59","+44 23 40.2",5.18,"A2Vs",2421
2227,"00 28 14.15","-29 02 24.7",6.75,"K1II",2455
2235,"00 28 20.03","+10 11 25.2",6.05,"F6Vawvar",2454
2237,"00 28 21.17","-20 20 05.2",6.44,"G3V",2475
2240,"00 28 26.42","-39 54 53.6",5.42,"M0III",2490
2243,"00 28 28.59","+32 26 16.1",6.87,"A2p...",2453
2246,"00 28 33.15","-11 14 14.0",6.86,"F5",2488
2256,"00 28 42.98","-50 31 58.2",6.26,"K0III",2529
2270,"00 28 56.67","+36 53 58.9",6.28,"G5III",2507
2304,"00 29 23.12","-40 39 55.5",6.82,"G8/K0III",2608
2312,"00 29 29.34","-03 28 09.4",6.95,"K5",2593
2323,"00 29 39.01","-02 50 25.2",6.89,"K2",2612
2330,"00 29 48.99","-32 06 57.3",6.59,"K2/K3III",2632
2337,"00 29 51.81","-14 51 50.5",6.15,"F2/F3V",2630
2353,"00 30 02.35","-03 57 26.3",5.72,"M0III",2637
2355,"00 30 07.34","+29 45 06.1",5.2,"A7III",2628
2358,"00 30 08.70","+04 51 36.3",6.52,"F5",2648
2377,"00 30 19.91","+59 58 39.2",5.94,"B9IIIn",2626
2381,"00 30 22.67","-23 47 15.8",5.17,"A3V",2696
2383,"00 30 25.97","-48 12 52.9",5.67,"F2V",2726
2388,"00 30 27.83","-40 56 22.7",6.18,"F2III",2724
2392,"00 30 29.27","-39 31 06.1",6.6,"K1III",2723
2415,"00 30 47.17","+16 02 15.4",6.83,"A0",2714
2422,"00 30 54.20","+77 01 10.2",6.18,"K0IV",2589
2431,"00 30 59.91","-10 05 04.7",6.86,"A3",2760
2440,"00 31 03.88","+55 42 10.2",6.57,"G5",2701
2455,"00 31 12.90","+43 56 47.6",6.76,"B8",2739
2472,"00 31 24.86","-48 48 12.8",4.76,"A0V",2834
2474,"00 31 25.20","+66 31 10.7",6.18,"B6V",2729
2475,"00 31 25.61","+33 34 54.1",5.88,"K1III...",2767
2484,"00 31 32.56","-62 57 29.1",4.36,"B9V",2884
2487,"00 31 33.36","-62 57 55.6",4.53,"A2V",2885
2490,"00 31 36.09","+16 01 15.7",6.89,"K0",2806
2491,"00 31 37.36","+09 09 40.4",6.99,"K2",2807
2497,"00 31 41.21","+52 50 22.4",5.59,"K2III",2774
2505,"00 31 46.32","+54 31 20.4",4.74,"B8Vn",2772
2517,"00 31 54.88","+19 38 34.6",6.87,"K5III",2841
