HIP,RAhms,DEdms,Vmag,SpType,HD
68933,"14 06 41.32","-36 22 07.3",2.06,"K0IIIb",123139
68937,"14 06 41.65","-14 12 17.4",6.57,"M4III",123214
68940,"14 06 42.91","-09 18 48.7",5.46,"F2IV",123255
68955,"14 06 55.88","+28 26 16.9",6.89,"K0",123409
68956,"14 06 56.48","+74 35 37.5",6.43,"A7V",124063
68958,"14 06 58.26","-47 35 21.0",6.99,"Ap...",123112
68964,"14 07 04.88","-63 26 43.2",6.78,"K4/K5III+..",122938
69011,"14 07 40.84","-48 42 14.3",6.43,"B9V",123247
69012,"14 07 41.56","-49 52 04.3",6.45,"G3V",123227
69038,"14 07 55.75","+43 51 16.3",5.13,"M4.2III",123657
69040,"14 07 56.54","+48 12 39.0",6.8,"F2",123691
69065,"14 08 14.27","-63 12 28.9",6.39,"G8/K0III",123151
69067,"14 08 15.88","+24 18 54.1",6.57,"K5III",123612
69068,"14 08 17.36","+49 27 28.9",5.26,"M2III",123782
69090,"14 08 27.71","-74 51 02.6",6.02,"G1V",122862
69092,"14 08 28.99","-11 49 46.0",6.84,"A2",123523
69107,"14 08 46.19","+59 20 15.7",6.47,"K0III",123977
69112,"14 08 51.01","+77 32 50.8",4.8,"K3III",124547
69113,"14 08 51.90","-43 28 14.7",6.19,"B9V",123445
69122,"14 08 56.27","-59 16 36.0",6.34,"B5IV",123335
69127,"14 09 00.60","-10 20 04.6",6.45,"G8III",123630
69165,"14 09 28.11","+02 47 51.3",6.8,"K0",123739
69174,"14 09 35.06","-51 30 16.7",5.96,"B9IV",123515
69178,"14 09 37.17","+15 37 18.1",6.87,"F7V",123845
69191,"14 09 54.96","-53 26 19.4",4.74,"G8III",123569
69207,"14 10 08.83","+68 51 48.2",6.54,"K0",124369
69213,"14 10 13.07","-30 37 15.2",6.77,"A2IV/V",123746
69226,"14 10 23.95","+25 05 30.6",4.82,"F9IVw",123999
69241,"14 10 30.91","-70 18 19.6",6.07,"K4II",123377
69260,"14 10 43.38","+15 17 26.7",6.95,"K2",124034
69265,"14 10 47.78","+00 47 58.8",6.85,"A2",123980
69269,"14 10 50.48","-16 18 07.2",4.93,"M1III",123934
69271,"14 10 51.86","-32 04 32.5",6.64,"K1III",123888
69295,"14 11 01.33","+58 32 56.8",6.73,"G9III",124319
69298,"14 11 01.93","-69 43 09.4",6.07,"A6IV",123492
69299,"14 11 02.54","-48 46 56.2",6.61,"G5IV",123797
69316,"14 11 15.14","+32 17 44.9",6.14,"K4III",124186
69340,"14 11 31.28","+01 21 44.4",6.42,"F7V",124115
69350,"14 11 37.12","+42 20 26.5",6.88,"K0",124291
69373,"14 12 04.05","+69 25 57.6",5.18,"M2III",124730
69389,"14 12 15.83","+02 24 34.2",4.99,"B9p Si",124224
69398,"14 12 24.55","-24 21 48.0",6.35,"K2III",124162
69415,"14 12 46.03","-27 15 40.0",5.07,"K2III",124206
69427,"14 12 53.74","-10 16 26.6",4.18,"K3III",124294
69429,"14 12 55.11","-40 50 00.5",6.75,"B9V",124176
69449,"14 13 09.80","-13 51 35.6",6.82,"M3III",124304
69458,"14 13 13.25","-26 36 44.2",6.23,"K0III",124281
69462,"14 13 16.42","-53 39 56.3",5.53,"K5III+...",124147
69481,"14 13 27.75","+51 47 16.4",6.62,"F1V",124674
69483,"14 13 28.95","+51 47 24.0",4.53,"A8IV",124675
69487,"14 13 34.14","-84 32 40.7",6.78,"K0/K1III",122470
69491,"14 13 39.84","-54 37 32.2",6.09,"B5V",124195
69493,"14 13 40.67","-00 50 42.4",5.89,"F7Vw",124425
69500,"14 13 42.98","-11 50 18.0",6.98,"G5",124401
69517,"14 13 49.47","+11 59 52.1",6.59,"K0",124517
69523,"14 13 54.61","+29 06 19.6",6.82,"F0",124587
69536,"14 14 05.33","+12 57 34.5",5.53,"F6IV",124570
69546,"14 14 11.52","+35 36 13.0",6.91,"K5III",124696
69564,"14 14 21.49","-05 56 52.5",6.36,"F9V",124553
69569,"14 14 23.57","+41 31 08.5",6.23,"K3III:",124755
69584,"14 14 35.00","-66 09 14.9",6.95,"B5III",124182
69585,"14 14 35.66","+13 58 30.9",6.45,"K2",124678
69591,"14 14 39.67","-65 42 04.9",6.72,"B5V",124197
69592,"14 14 40.94","+21 52 24.3",6.38,"A7V",124713
69598,"14 14 42.76","-41 50 14.8",5.61,"G8III",124433
69612,"14 14 50.86","+10 06 03.6",5.29,"K1III",124679
69614,"14 14 53.05","+03 20 09.4",6.41,"M4III",124681
69618,"14 14 57.16","-57 05 09.9",5.03,"B4Vne",124367
69623,"14 15 01.28","-29 16 54.7",6.1,"A1V",124576
69625,"14 15 01.48","-40 54 02.3",6.96,"K2III",124483
69626,"14 15 01.58","+23 41 10.0",6.78,"F0",124797
69628,"14 15 01.61","-61 42 24.4",6.68,"O8",124314
69650,"14 15 17.01","+52 32 09.4",6.56,"A4V",125019
69655,"14 15 21.33","-53 30 35.7",6.4,"K3III",124454
69658,"14 15 24.11","-18 12 02.4",5.53,"A0V",124683
69671,"14 15 38.58","-45 00 01.5",6.31,"F9V",124580
69673,"14 15 40.35","+19 11 14.2",-0.05,"K2IIIp",124897
69699,"14 15 59.89","+56 41 21.7",6.68,"F8",125193
69701,"14 16 00.88","-05 59 58.3",4.07,"F7V",124850
69704,"14 16 02.41","+45 33 58.0",6.5,"K0",125076
69713,"14 16 10.07","+51 22 01.3",4.75,"A9V",125161
69722,"14 16 18.32","-33 14 28.8",6.57,"F0V",124780
69727,"14 16 21.41","-06 37 17.5",6.44,"A9III",124915
69732,"14 16 23.18","+46 05 16.5",4.18,"A0sh",125162
69735,"14 16 24.38","+39 44 40.9",6.38,"F2IV",125111
69747,"14 16 30.18","-03 11 46.4",6.15,"A1V",124931
69748,"14 16 30.48","+55 17 54.4",6.9,"K1III",125260
69751,"14 16 32.93","+20 07 19.5",6.25,"F8V",125040
69753,"14 16 33.92","+32 12 30.3",6.73,"G5",125113
69763,"14 16 38.73","-66 35 16.4",5.72,"B1.5III",124471
69773,"14 16 48.75","-08 53 04.0",6.47,"K0",124973
69775,"14 16 49.44","-05 38 38.4",6.88,"F0",124988
69778,"14 16 55.17","-77 39 51.2",6.48,"K2IIp",124099
69792,"14 17 03.79","-18 35 08.5",6.22,"K0III",124990
69818,"14 17 21.16","+51 18 26.6",6.19,"A2IV",125349
69823,"14 17 22.64","-09 01 21.9",6.62,"K0",125059
69825,"14 17 25.52","-55 45 54.5",6.62,"A0II",124812
69828,"14 17 27.72","-19 57 49.3",6.95,"A5IV",125048
69829,"14 17 28.44","+15 15 48.1",5.84,"M3III",125180
69859,"14 17 47.89","+55 25 31.3",6.88,"A2",125469
69862,"14 17 49.21","+48 00 07.5",6.32,"F5",125406
69879,"14 17 59.82","+35 30 34.1",4.8,"K1III",125351
69881,"14 18 00.57","-07 32 30.5",6.47,"F9V",125184
69896,"14 18 13.97","-81 00 27.4",4.89,"A2m...",123998
69904,"14 18 23.81","-33 13 13.6",6.54,"A9IV/V",125150
69917,"14 18 31.16","+52 02 00.0",6.91,"A2",125557
69929,"14 18 38.30","-18 42 57.2",5.86,"Ap Si(Cr)",125248
69955,"14 18 55.69","+38 46 02.5",6.86,"G9IV",125538
69958,"14 18 55.93","+54 51 49.6",6.47,"A5Vn",125632
69965,"14 19 01.13","-25 48 58.7",5.87,"F7Vw",125276
69969,"14 19 04.02","+19 03 55.5",6.86,"K0",125450
69972,"14 19 05.36","-59 22 37.4",6.66,"K3V",125072
69974,"14 19 06.60","-13 22 16.2",4.52,"A1V",125337
69977,"14 19 07.17","-27 08 28.2",6.35,"K5III",125279
69989,"14 19 16.22","+13 00 15.8",5.41,"F5IV",125451
69995,"14 19 23.91","-37 00 10.1",5.93,"A1V",125283
69996,"14 19 24.23","-46 03 29.1",3.55,"B2.5IV",125238
70012,"14 19 32.55","-02 15 55.2",5.14,"G9III",125454
70022,"14 19 40.97","+00 23 03.7",6.18,"A7V",125489
70027,"14 19 45.32","+16 18 24.5",4.84,"K3III",125560
70029,"14 19 47.72","+38 47 38.7",6.33,"A2V",125642
70035,"14 19 51.70","-61 16 21.9",5.22,"Am",125158
70038,"14 19 53.25","-06 44 46.0",6.42,"G5",125490
70041,"14 19 54.92","+67 46 56.9",6.95,"A0",126028
70042,"14 19 57.39","-73 58 06.4",6.58,"B3III/IV",124834
70051,"14 20 08.67","+30 25 44.9",6.45,"A5III",125658
70054,"14 20 09.71","-43 03 31.9",5.55,"G8III",125383
70069,"14 20 19.55","-56 23 11.3",4.3,"B6Ib",125288
70081,"14 20 28.94","+00 10 55.4",6.79,"K0",125609
70090,"14 20 33.48","-37 53 07.0",4.05,"A0IV",125473
70104,"14 20 42.55","-45 11 12.8",4.78,"F0IV",125442
70108,"14 20 45.08","+26 04 31.9",6.79,"G8II",125728
70145,"14 21 09.38","+19 10 48.7",6.9,"K5",125771
70220,"14 21 58.61","-01 59 17.0",6.82,"A2",125817
70225,"14 22 01.64","-28 18 30.4",6.8,"K0III",125734
70236,"14 22 14.03","+29 22 11.9",6.5,"MIII",126009
70243,"14 22 19.74","-34 47 12.4",5.57,"B8V",125745
70248,"14 22 23.20","-80 06 32.1",5.06,"B4V",124771
70261,"14 22 34.76","-20 45 27.6",6.8,"K0III",125862
70264,"14 22 37.12","-58 27 33.0",4.76,"G8/K1 + F/G",125628
70269,"14 22 38.65","-07 46 04.3",6.82,"G0...",125906
70270,"14 22 38.72","-48 19 11.4",6.1,"B1III",125721
70282,"14 22 46.42","-00 38 13.6",6.74,"A0",125981
70289,"14 22 51.93","-39 37 26.2",6.83,"K3III",125805
70300,"14 23 02.26","-39 30 42.4",4.41,"B2V",125823
70306,"14 23 05.91","-27 45 13.4",4.78,"K3III",125932
70310,"14 23 06.92","+25 20 16.9",6.22,"F5V",126141
70319,"14 23 15.15","+01 14 33.8",6.25,"G1V",126053
70320,"14 23 15.36","-47 25 01.0",6.41,"G5Ib",125809
70325,"14 23 20.26","-50 46 20.0",6.03,"K2III",125810
70327,"14 23 22.74","+08 26 47.9",4.86,"A0V",126128
70336,"14 23 25.63","-11 42 50.0",6.22,"G7III",126035
70346,"14 23 32.09","-66 38 41.9",6.78,"A2p",125630
70356,"14 23 41.95","+40 50 39.8",6.72,"F5",126326
70363,"14 23 48.64","-53 10 34.4",5.99,"K1III",125869
70375,"14 23 55.72","-29 40 34.6",6.93,"A4V",126057
70379,"14 23 57.72","-16 06 06.8",6.69,"A1V",126131
70384,"14 24 00.88","+08 14 38.4",5.94,"A3V",126200
70385,"14 24 01.98","+27 24 47.5",6.39,"K4III",126307
70386,"14 24 05.72","+11 14 49.1",6.76,"F5",126246
70399,"14 24 11.28","+16 16 25.1",6.9,"Am",126269
70400,"14 24 11.39","+05 49 12.4",5.1,"A5V",126248
70405,"14 24 14.62","-33 05 12.7",6.8,"G8III",126089
70414,"14 24 18.34","+08 05 05.4",6.19,"K4III",126271
70418,"14 24 22.18","-82 50 53.6",6.42,"B8V",124639
70451,"14 24 40.84","-44 18 39.7",6.43,"K0/K1III",126093
70452,"14 24 40.90","-11 40 10.7",6.49,"F4III",126251
70455,"14 24 43.93","-40 45 18.4",6.97,"B8V",126135
70469,"14 24 48.66","-24 48 22.6",5.34,"K0III",126218
70483,"14 25 01.04","-37 26 49.1",6.7,"A1V",126194
70492,"14 25 06.34","-68 11 43.2",5.56,"A3Ib",125835
70497,"14 25 12.02","+51 51 06.2",4.04,"F7V",126660
70501,"14 25 17.63","-13 21 11.4",6.49,"K2III",126363
70508,"14 25 22.92","-55 01 05.4",6.84,"G6/G8III",126115
70513,"14 25 27.65","-19 57 56.9",6.98,"A2V",126366
70514,"14 25 27.69","-28 53 43.6",6.83,"K1III",126334
70517,"14 25 29.15","+38 23 35.2",6.28,"K2III:",126597
70518,"14 25 29.91","-19 58 11.8",6.63,"A1/A2V",126367
70528,"14 25 39.80","-66 10 22.4",6.36,"A1V",125990
70538,"14 25 47.77","-26 51 07.6",6.48,"K0III",126400
70574,"14 26 08.24","-45 13 17.0",4.56,"B2IV",126341
70576,"14 26 10.80","-45 22 45.3",4.33,"A7:+...",126354
70580,"14 26 13.53","-42 19 06.5",6.33,"K3III",126386
70602,"14 26 27.41","+19 13 36.6",5.4,"F0m",126661
70612,"14 26 37.69","-39 31 23.4",6.87,"G3II/III",126447
70626,"14 26 49.89","-39 52 26.2",6.36,"B9V",126475
70638,"14 26 55.74","-83 40 04.3",4.31,"K2III",124882
70645,"14 26 58.79","-59 14 15.5",6.87,"K1II",126343
70657,"14 27 07.11","-65 49 17.8",5.87,"K3III",126241
70661,"14 27 11.29","-66 34 04.8",6.57,"A1III",126226
70663,"14 27 12.30","-46 08 02.6",5.83,"Am",126504
70671,"14 27 16.83","-78 37 12.6",6.72,"K0III",125690
70680,"14 27 24.42","-06 07 12.7",6.18,"A2IV",126722
70685,"14 27 27.52","+41 01 29.9",6.64,"F1IV",126943
70693,"14 27 31.43","-35 26 49.6",6.89,"F8V",126620
70692,"14 27 31.52","+75 41 45.4",4.25,"K4III",127700
70714,"14 27 45.32","-13 21 33.5",6.65,"F5V",126766
70716,"14 27 45.49","-44 19 48.7",6.99,"A1V",126606
70753,"14 28 10.44","-29 29 29.7",4.97,"B7/B8V",126769
70755,"14 28 12.22","-02 13 40.6",4.81,"G2III",126868
70762,"14 28 16.46","+36 11 49.3",6.22,"K0III",127065
70784,"14 28 31.99","-10 00 15.2",6.61,"K0",126896
70791,"14 28 38.09","+49 50 41.9",5.58,"G3IV",127243
70794,"14 28 41.73","-06 54 01.5",5.42,"K5III",126927
70798,"14 28 43.50","-59 11 51.1",6.46,"A0II/III",126610
70800,"14 28 46.02","+25 51 14.1",6.67,"MIII",127093
70802,"14 28 48.17","-05 13 07.6",6.6,"K0",126962
70809,"14 28 51.93","-47 59 31.3",6.4,"Ap...",126759
70816,"14 28 56.46","+03 43 10.4",6.84,"K5",127032
70824,"14 29 00.55","-56 08 12.7",6.9,"A3II",126692
70844,"14 29 15.04","+44 15 43.6",6.52,"K0",127285
70857,"14 29 22.57","+80 48 36.6",6.88,"G5",128642
70866,"14 29 31.14","-26 00 48.1",6.88,"K2III",126973
70873,"14 29 36.68","+41 47 47.2",6.36,"G5V",127334
70874,"14 29 37.07","-76 43 44.5",6.06,"K0/K1III",126209
70892,"14 29 49.68","+31 47 28.2",6.06,"A0Vs",127304
70894,"14 29 50.51","+00 49 44.1",5.96,"A5IV",127167
70904,"14 29 58.38","-56 07 52.3",6.97,"A6V",126859
70915,"14 30 08.66","-45 19 16.6",5.51,"B8Vn",126981
70918,"14 30 09.99","-43 51 49.8",6.91,"A0/A1V",126997
70931,"14 30 20.99","-49 31 08.1",5.38,"A1V",126983
70945,"14 30 40.47","-22 27 39.3",6.92,"B8Ve",127208
70949,"14 30 45.39","+04 46 20.3",6.01,"K4III",127337
70952,"14 30 46.30","+63 11 08.7",6.1,"F4IV",127821
70966,"14 30 56.63","-40 50 42.4",6.39,"K3III",127152
70987,"14 31 10.84","-38 52 11.2",5.99,"K1III",127193
70988,"14 31 11.32","-40 23 11.0",6.75,"G8/K0III",127214
71002,"14 31 16.39","-67 43 01.4",5.84,"K1III",126862
71008,"14 31 20.45","+43 22 56.4",6.73,"A2",127663
71040,"14 31 42.87","+60 13 32.1",6.26,"F0III",127929
71053,"14 31 49.86","+30 22 16.1",3.57,"K3III",127665
71055,"14 31 50.12","-76 16 26.2",6.93,"G6II+...",126595
71075,"14 32 04.76","+38 18 28.4",3.04,"A7IIIvar",127762
71094,"14 32 20.27","+26 40 38.4",6.0,"A7Vn",127726
71111,"14 32 30.93","+55 23 53.0",5.74,"K5III",128000
71115,"14 32 32.62","+22 15 35.9",5.91,"F2IV",127739
71116,"14 32 33.09","-56 53 15.7",6.71,"F5Ia",127297
71121,"14 32 37.08","-50 27 25.6",4.44,"B2III",127381
71146,"14 33 03.01","+05 19 24.5",6.85,"G5",127742
71154,"14 33 09.62","-30 42 53.9",6.07,"K0III",127624
71168,"14 33 20.27","+36 57 33.1",6.39,"F8IVw",127986
71179,"14 33 27.46","-33 18 57.9",6.94,"K1III",127672
71182,"14 33 29.97","-52 40 46.1",5.86,"K0III",127501
71184,"14 33 32.47","-54 59 55.0",5.86,"F6IV-V",127486
71192,"14 33 35.47","+65 23 43.1",6.6,"F5",128385
71196,"14 33 38.62","+79 39 36.8",6.27,"K3III",129245
71206,"14 33 44.66","+43 00 27.7",6.75,"A2",128092
71209,"14 33 46.45","-79 57 18.8",6.66,"G8IIICN...",126596
71216,"14 33 49.73","-67 37 03.5",6.94,"B3Vn",127317
71235,"14 34 05.05","+46 47 11.3",6.51,"A0",128184
71239,"14 34 07.98","-42 05 57.2",6.59,"A2IV",127716
71243,"14 34 11.63","+32 32 04.1",6.32,"F5V",128093
71251,"14 34 15.70","+57 03 57.0",6.46,"F7V",128332
71277,"14 34 38.52","+36 37 34.2",6.02,"K5III",128198
71280,"14 34 39.66","+49 22 05.6",5.74,"M1III",128333
71284,"14 34 40.69","+29 44 41.3",4.47,"F3Vwvar",128167
71295,"14 34 50.72","-20 26 21.8",6.49,"A3V",127964
71327,"14 35 10.72","-46 27 43.0",6.89,"B9V",127864
71333,"14 35 17.08","-60 00 56.1",6.39,"K2III",127724
71350,"14 35 29.49","-73 41 39.4",6.96,"K4III",127369
71352,"14 35 30.45","-42 09 27.9",2.33,"B1Vn + A",127972
71348,"14 35 30.80","-89 46 18.1",6.82,"M4III",110994
71353,"14 35 31.50","-41 31 02.6",5.88,"B6V",127971
71382,"14 35 50.00","-46 48 56.7",6.78,"G8III",127976
71406,"14 36 06.88","+23 15 01.1",6.39,"K0",128402
71419,"14 36 19.06","-46 14 43.8",5.55,"K3III",128068
71429,"14 36 24.14","-39 35 50.5",6.13,"K1III",128152
71452,"14 36 43.67","+12 52 41.3",6.98,"A0",128481
71453,"14 36 44.15","-40 12 41.5",5.74,"B8V",128207
71466,"14 36 55.90","+42 49 52.7",6.59,"F8",128660
71469,"14 37 00.30","-12 18 22.4",6.2,"F5V",128429
71492,"14 37 11.97","-62 00 39.2",6.78,"G0/G1Ib",128037
71494,"14 37 12.43","-53 03 38.7",6.49,"K2/K3III",128154
71500,"14 37 20.17","-46 08 00.3",5.39,"K0III",128266
71510,"14 37 28.49","+02 16 38.7",6.45,"F8",128563
71520,"14 37 36.55","-43 06 40.7",6.51,"G8III",128343
71530,"14 37 46.80","-67 55 52.8",6.03,"F7V",128020
71536,"14 37 53.25","-49 25 32.7",4.05,"B5V",128345
71538,"14 37 54.90","-48 01 24.7",6.65,"B9V",128344
71548,"14 38 00.77","+51 34 42.0",6.95,"F2",128941
71568,"14 38 12.67","+43 38 31.4",5.74,"K2III",128902
71570,"14 38 13.45","-45 52 18.4",6.83,"K2III",128413
71571,"14 38 14.01","+18 17 54.7",5.9,"K2III:",128750
71573,"14 38 15.21","+54 01 24.2",5.83,"A1V",128998
71577,"14 38 17.68","-49 54 03.9",6.51,"A0IV",128415
71581,"14 38 19.34","-38 47 38.9",6.04,"K3III",128488
71585,"14 38 24.94","-35 16 35.2",6.78,"A3V",128532
71618,"14 38 50.28","+44 24 16.4",5.39,"A1V",129002
71629,"14 38 59.68","-59 08 26.8",6.53,"F7IV",128398
71632,"14 39 00.42","-10 33 17.3",6.73,"G5",128752
71639,"14 39 11.01","-46 35 02.2",6.06,"F7V",128582
71658,"14 39 24.64","-49 03 18.1",6.37,"F3IV",128617
71668,"14 39 31.67","-68 12 12.1",6.73,"B3Vne",128293
71681,"14 39 39.39","-60 50 22.1",1.35,"K1V",128621
71683,"14 39 40.90","-60 50 06.5",-0.01,"G2V",128620
71682,"14 39 40.93","-26 43 25.1",6.99,"F5V",128787
71724,"14 40 17.66","-40 50 29.9",6.65,"B8/B9V",128819
71725,"14 40 18.45","+87 12 53.0",6.91,"K0",135294
71727,"14 40 19.29","-45 47 37.6",6.61,"A0p",128775
71729,"14 40 21.88","+21 58 32.8",6.13,"G0V",129132
71745,"14 40 32.15","-14 02 48.3",6.97,"K4/K5III",128986
71746,"14 40 32.77","-56 26 26.7",6.3,"K0/K1II",128713
71759,"14 40 42.36","+13 32 03.7",5.93,"F0V",129153
71762,"14 40 43.56","+16 25 05.9",4.49,"B9p MnHg",129174
71783,"14 41 01.41","-36 08 05.4",5.67,"Ap Si",128974
71795,"14 41 08.92","+13 43 42.0",3.78,"A3IVn",129246
71832,"14 41 38.76","+08 09 42.3",4.86,"G8IIIvar",129312
71837,"14 41 43.62","+11 39 39.4",5.55,"G8III",129336
71853,"14 41 51.25","-30 55 59.2",6.38,"Asp...",129161
71855,"14 41 52.19","-75 08 22.0",6.73,"G5V",128400
71857,"14 41 54.24","+21 07 25.3",6.4,"G8III",129430
71860,"14 41 55.77","-47 23 17.3",2.3,"B1.5III",129056
71861,"14 41 55.93","-58 36 56.6",6.21,"F4V",128917
71865,"14 41 57.61","-37 47 36.3",4.01,"B2.5V",129116
71870,"14 41 59.76","-77 00 41.1",6.34,"B9III",128294
71873,"14 42 02.27","-12 14 05.6",6.82,"K0",129293
71876,"14 42 03.16","+61 15 43.2",6.24,"F2V",129798
71890,"14 42 13.21","-32 46 12.0",6.63,"G8IV",129216
71908,"14 42 30.69","-64 58 28.5",3.18,"F1Vp",128898
71931,"14 42 42.45","+14 42 30.9",6.59,"F2III",129537
71934,"14 42 45.10","-19 18 42.3",6.87,"K0III",129379
71957,"14 43 03.56","-05 39 26.7",3.87,"F2III",129502
71974,"14 43 13.57","-24 59 51.8",5.7,"B9.5V",129433
71975,"14 43 15.34","-47 34 13.7",6.91,"B9II/III",129281
71995,"14 43 25.37","+26 31 40.4",4.8,"M3III",129712
71997,"14 43 25.83","-09 41 58.8",6.52,"G5",129566
72000,"14 43 28.15","-62 58 00.0",6.39,"B3V:",129092
72010,"14 43 39.48","-35 10 23.6",4.06,"K3III",129456
72012,"14 43 44.44","+40 27 33.1",5.72,"K4III",129846
72029,"14 44 03.51","+61 05 54.1",6.87,"F2",130173
72047,"14 44 13.80","-08 15 07.6",6.64,"F5",129698
72048,"14 44 14.28","-69 40 26.0",6.99,"F7V",129060
72056,"14 44 17.74","-24 07 43.5",6.82,"K2III",129635
72066,"14 44 28.17","+45 11 09.7",6.73,"F0",130044
72082,"14 44 45.07","-09 42 14.2",6.86,"F2",129784
72097,"14 44 55.57","-58 28 38.6",6.1,"K0III",129462
72103,"14 44 59.09","-61 31 17.9",6.97,"K4III",129405
72104,"14 44 59.20","-35 11 30.6",4.92,"A0V",129685
72105,"14 44 59.25","+27 04 27.0",2.35,"A0",129988
72121,"14 45 10.97","-55 36 05.8",6.1,"B2III",129557
72122,"14 45 11.74","-01 25 03.1",6.06,"M1III",129902
72124,"14 45 13.68","+32 47 18.6",6.27,"M1III",130084
72125,"14 45 14.50","+16 57 51.9",4.6,"K0III",129972
72131,"14 45 17.25","-62 52 31.6",5.36,"A7Vn",129422
72135,"14 45 18.85","-51 18 53.6",6.44,"K4III",129624
72139,"14 45 20.58","+18 53 05.7",6.15,"K0",130025
72142,"14 45 21.56","+10 35 56.3",6.91,"G5",129974
72154,"14 45 30.23","+00 43 02.2",5.68,"B9.5V",129956
72162,"14 45 36.13","+08 09 35.2",6.97,"K0",130005
72183,"14 45 51.79","+13 06 05.7",6.57,"K0",130086
72192,"14 45 57.66","-44 52 02.9",6.91,"A0V",129791
72194,"14 45 57.78","-15 27 34.4",6.33,"K2III",129978
72197,"14 46 00.18","-25 26 34.5",5.15,"F0V + G/K",129926
72208,"14 46 06.00","+15 07 54.3",5.78,"M5III",130144
72210,"14 46 06.75","-23 09 10.3",5.8,"K0III",129944
72217,"14 46 10.92","-21 10 32.6",6.43,"G2V",129980
72220,"14 46 14.99","+01 53 34.6",3.73,"A0V",130109
72226,"14 46 17.81","-00 50 01.8",6.91,"K0III",130110
72238,"14 46 23.44","+56 36 59.0",6.61,"K2III",130499
72250,"14 46 29.03","-47 26 27.9",5.74,"A1V",129858
72290,"14 47 01.31","-52 22 59.9",5.22,"G6III",129893
72296,"14 47 05.06","-38 17 25.6",5.9,"K3III",130055
72298,"14 47 05.37","+00 58 15.4",6.62,"A0...",130256
72308,"14 47 12.59","-52 12 18.9",6.07,"A1III/IV",129932
72310,"14 47 13.66","-21 19 29.6",6.05,"K4/K5III",130157
72323,"14 47 22.56","-25 37 27.2",5.61,"B9IV/V",130158
72330,"14 47 25.65","+02 02 08.9",6.8,"A2",130321
72338,"14 47 32.11","-43 33 24.4",6.3,"K1III",130073
72357,"14 47 44.78","-26 05 14.9",5.23,"G8/K0III",130259
72362,"14 47 46.97","-39 55 35.0",6.92,"A0V",130163
72370,"14 47 51.73","-79 02 41.0",3.83,"K5III",129078
72373,"14 47 54.92","-12 50 23.2",6.34,"K0III",130325
72378,"14 47 57.56","-26 38 46.1",5.76,"B9.5V",130274
72412,"14 48 23.41","+24 22 00.3",6.15,"F2V",130603
72423,"14 48 31.70","-17 20 24.4",6.87,"G3V",130412
72427,"14 48 32.68","-35 50 29.4",6.72,"K0III",130311
72432,"14 48 38.06","-36 38 04.5",5.89,"M5III",130328
72438,"14 48 44.56","-66 35 36.7",5.91,"B2.5V",129954
72447,"14 48 53.25","+05 57 16.6",6.83,"F6V",130604
72449,"14 48 54.10","-00 50 51.7",6.15,"B9Vsvar...",130557
72469,"14 49 06.93","+37 48 39.3",6.15,"F2V",130817
72471,"14 49 07.17","-56 40 03.1",6.21,"K3III",130227
72480,"14 49 14.84","+25 09 03.3",6.68,"K3II",130766
72482,"14 49 14.93","-59 24 26.4",6.59,"K3/K4III+..",130205
72487,"14 49 18.68","+46 06 59.0",5.76,"F7IVw",130945
72488,"14 49 18.76","-24 15 05.3",5.68,"K3III+...",130529
72489,"14 49 19.09","-14 08 56.3",5.32,"Ap",130559
72499,"14 49 26.19","+10 02 39.7",6.64,"K4II-III",130705
72505,"14 49 28.74","+19 30 37.4",6.91,"B9",130767
72508,"14 49 32.37","+51 22 28.2",6.49,"F5IV",131040
72518,"14 49 37.06","-68 56 10.2",6.5,"B3III",130021
72524,"14 49 41.36","+48 43 14.0",5.68,"F6V+...",131041
72527,"14 49 42.18","+07 59 12.3",6.96,"F5",130726
72536,"14 49 49.28","-32 25 37.4",6.85,"K0III",130539
72550,"14 49 56.28","+24 43 13.7",6.77,"B9",130870
72552,"14 49 58.39","+28 36 57.0",5.8,"A4V",130917
72567,"14 50 15.72","+23 54 42.4",5.86,"G2V",130948
72569,"14 50 16.10","-58 58 36.2",6.85,"F8II",130380
72571,"14 50 17.47","-27 57 36.8",4.42,"K3III",130694
72573,"14 50 19.63","+82 30 45.0",5.63,"F9V",133002
72578,"14 50 21.93","+65 38 45.0",6.98,"K5",131444
72582,"14 50 29.80","+37 16 18.5",5.47,"K0III-IV",131111
72603,"14 50 41.26","-15 59 49.5",5.15,"F3V",130819
72607,"14 50 42.40","+74 09 19.7",2.07,"K4IIIvar",131873
72617,"14 50 50.78","-53 22 05.7",6.56,"A0V",130572
72622,"14 50 52.78","-16 02 29.8",2.75,"A3IV",130841
72627,"14 50 58.73","-42 49 20.8",6.84,"A2V",130697
72629,"14 51 00.11","-00 15 27.0",6.18,"K3III",130970
72631,"14 51 01.02","-02 17 55.9",4.93,"G8...",130952
72659,"14 51 23.28","+19 06 02.3",4.54,"G8V + K4V",131156
72664,"14 51 26.57","+59 17 37.1",5.48,"K4III",131507
72670,"14 51 30.07","-77 10 33.4",6.44,"Ap...",129899
72671,"14 51 30.18","-74 55 59.1",6.83,"B8V",130081
72677,"14 51 34.96","-17 47 24.2",6.55,"F6V",130989
72683,"14 51 38.32","-43 34 31.1",4.32,"B5IV",130807
72687,"14 51 40.58","+83 56 14.9",6.95,"K0",133872
72702,"14 51 51.31","-18 21 19.2",6.27,"K0II/III",131027
