HIP,HD,HR,Bayer,Fl,Cst
29433,42509,2193," ",68,"Ori"
30756,257498,," ",15,"Gem"
30757,45352,," ",15,"Gem"
29655,42995,2216,"eta",7,"Gem"
30343,44478,2286,"mu.",13,"Gem"
30049,43836,," ",12,"Gem"
30046,43818,," ",11,"Gem"
30003,43740,," ",10,"Gem"
32921,49908,2529,"d",36,"Gem"
33927,52497,2630,"ome",42,"Gem"
33277,50692,2569," ",37,"Gem"
33650,51688,2605," ",40,"Gem"
33595,51530,2601," ",39,"Gem"
32246,48329,2473,"eps",27,"Gem"
31852,47395,2438," ",54,"Aur"
32019,47731,2453," ",25,"Gem"
32311,48450,2480," ",28,"Gem"
24555,34203,1718," ",18,"Ori"
26093,36653,1864," ",35,"Ori"
25555,35770,1814," ",116,"Tau"
25410,35532,1798," ",113,"Tau"
24010,33276,1676," ",15,"Ori"
23607,32549,1638," ",11,"Ori"
23214,31845,," ",101,"Tau"
25216,35189,1774," ",110,"Tau"
26777,37711,1946," ",126,"Tau"
26382,37147,1905," ",122,"Tau"
25583,35802,1816," ",117,"Tau"
26064,36576,1858," ",120,"Tau"
27338,38558,1990," ",130,"Tau"
27965,39698,2052," ",57,"Ori"
27913,39587,2047,"chi01",54,"Ori"
25278,35296,1780," ",111,"Tau"
25499,35671,1808," ",115,"Tau"
25945,36389,1845,"CE",119,"Tau"
26451,37202,1910,"zet",123,"Tau"
25539,35708,1810,"o",114,"Tau"
26248,36819,1875," ",121,"Tau"
22441,30605,1537," ",96,"Tau"
22565,30780,1547,"i",97,"Tau"
23835,32923,1656,"m",104,"Tau"
23871,32977,1658,"l",106,"Tau"
23497,32301,1620,"iot",102,"Tau"
24822,34559,1739,"n",109,"Tau"
23883,32991,1660," ",105,"Tau"
24512,34053,1711," ",108,"Tau"
25695,35943,1821," ",118,"Tau"
23900,32990,1659," ",103,"Tau"
23068,31553,1586," ",99,"Tau"
23088,31592,1590,"k",98,"Tau"
28561,40724,2116," ",141,"Tau"
28734,41116,2134," ",1,"Gem"
29450,42543,2197,"BU",6,"Gem"
29288,42216,," ",4,"Gem"
29225,42087,2173," ",3,"Gem"
29379,42398,2185," ",5,"Gem"
29840,43384,2240," ",9,"Gem"
29789,43261,2230," ",8,"Gem"
28969,41543,," ",2,"Gem"
27468,38751,2002," ",132,"Tau"
28237,40111,2084," ",139,"Tau"
27830,39357,2034," ",136,"Tau"
31434,46553,2398," ",49,"Aur"
31737,47152,2425," ",53,"Aur"
30827,45412,2332,"RT",48,"Aur"
31173,46052,2372,"WW",,"Aur"
29696,43039,2219,"kap",44,"Aur"
26640,37438,1928," ",125,"Tau"
25428,35497,1791,"bet",112,"Tau"
25192,35076,1768," ",22,"Aur"
26536,37269,1914," ",26,"Aur"
25984,36371,1843,"chi",25,"Aur"
27639,38944,2011,"ups",31,"Aur"
28380,40312,2095,"the",37,"Aur"
28946,41357,2143," ",40,"Aur"
27673,39003,2012,"nu.",32,"Aur"
58799,104747,," ",89,"Cen"
57936,103192,4552,"bet",,"Hya"
60425,107815,4711," ",6,"Crv"
56922,101431,4494,"omi",,"Hya"
56343,100407,4450,"ksi",,"Hya"
56280,100286,4443," ",17,"Crt"
59199,105452,4623,"alf",1,"Crv"
59394,105850,4635," ",3,"Crv"
59316,105707,4630,"eps",2,"Crv"
61359,109379,4786,"bet",9,"Crv"
64166,114149,4958,"psi",45,"Hya"
64577,114946,4995," ",55,"Vir"
64725,115202,5001," ",57,"Vir"
64520,114846,4990," ",54,"Vir"
64924,115617,5019," ",61,"Vir"
64407,114642,4981," ",53,"Vir"
60189,107348,4696,"zet",5,"Crv"
58587,104337,4590," ",31,"Crt"
60965,108767,4757,"del",7,"Crv"
59803,106625,4662,"gam",4,"Crv"
61174,109085,4775,"eta",8,"Crv"
54255,96314,4317,"chi02",,"Hya"
54204,96202,4314,"chi01",,"Hya"
54682,97277,4343,"bet",11,"Crt"
57283,102070,4514,"zet",27,"Crt"
55598,98991,4395,"lam",13,"Crt"
55705,99211,4405,"gam",15,"Crt"
53252,94388,4251,"b03",,"Hya"
53740,95272,4287,"alf",7,"Crt"
52737,93397,4214,"b01",,"Hya"
52943,93813,4232,"nu.",,"Hya"
54742,97411,4347,"psi",,"Crt"
55282,98430,4382,"del",12,"Crt"
55874,99564,4416,"kap",16,"Crt"
58188,103632,4567,"eta",30,"Crt"
61318,109309,4781,"q",21,"Vir"
56802,101198,4488,"iot",24,"Crt"
56633,100889,4468,"the",21,"Crt"
55687,99167,4402,"eps",14,"Crt"
66015,117661,5094," ",73,"Vir"
65301,116292,5044," ",63,"Vir"
66091,117789,5099," ",75,"Vir"
65639,116976,5068," ",69,"Vir"
67057,119605,5165," ",83,"Vir"
67139,119786,5170," ",85,"Vir"
66247,118054,5106,"y",,"Vir"
65581,116870,5064,"i",68,"Vir"
65474,116658,5056,"alf",67,"Vir"
67172,119853,5173," ",86,"Vir"
69127,123630,5298," ",96,"Vir"
68940,123255,5290," ",95,"Vir"
68888,123177,," ",94,"Vir"
66098,117818,5100,"h",76,"Vir"
66803,119149,5150,"m",82,"Vir"
64078,114038,4955," ",49,"Vir"
64224,114287,4961," ",50,"Vir"
65074,115903,," ",62,"Vir"
64625,115062,," ",56,"Vir"
62985,112142,4902,"psi",40,"Vir"
64122,114113,4957,"g",,"Vir"
64238,114330,4963,"the",51,"Vir"
66131,117878,," ",77,"Vir"
65892,117436,5088," ",72,"Vir"
66006,117675,5095,"l",74,"Vir"
66320,118219,5111," ",80,"Vir"
65420,116568,5050," ",66,"Vir"
65323,116365,5047," ",65,"Vir"
69701,124850,5338,"iot",99,"Vir"
70680,126722,5406," ",104,"Vir"
70012,125454,5366,"ups",102,"Vir"
70755,126868,5409,"phi",105,"Vir"
73193,132132,5573,"M",1,"Ser"
72154,129956,5501," ",108,"Vir"
72220,130109,5511," ",109,"Vir"
67929,121299,5232,"p",90,"Vir"
68520,122408,5264,"tau",93,"Vir"
66249,118098,5107,"zet",79,"Vir"
68092,121607,5244," ",92,"Vir"
61740,110014,4813,"chi",26,"Vir"
61969,110418,," ",28,"Vir"
63414,112846,4921,"k",44,"Vir"
63494,112992,4925," ",46,"Vir"
62875,111998,4891," ",38,"Vir"
61558,109704,4799,"f",25,"Vir"
61941,110379,4825,"gam",29,"Vir"
63750,113459,4937," ",48,"Vir"
60129,107259,4689,"eta",15,"Vir"
60030,107070,4681," ",13,"Vir"
59285,105639,4626," ",10,"Vir"
60172,107328,4695,"c",16,"Vir"
62757,111765,4878," ",37,"Vir"
62443,111239,4858," ",35,"Vir"
63090,112300,4910,"del",43,"Vir"
61968,110423,4829,"d01",31,"Vir"
62267,110951,4847,"d02",32,"Vir"
66200,118022,5105,"o",78,"Vir"
66936,119425,5159," ",84,"Vir"
65241,116235,5040," ",64,"Vir"
64852,115521,5015,"sig",60,"Vir"
64792,115383,5011,"e",59,"Vir"
62325,111028,4849," ",33,"Vir"
63608,113226,4932,"eps",47,"Vir"
65790,117304,5081," ",71,"Vir"
65721,117176,5072," ",70,"Vir"
52085,92214,4171,"phi",,"Hya"
51614,91369,,"phi01",,"Hya"
51905,91880,4156,"phi02",,"Hya"
51069,90432,4094,"mu.",42,"Hya"
52009,92055,4163,"U",,"Hya"
52980,93903,4237," ",41,"Sex"
49402,87504,3970,"ups02",40,"Hya"
49841,88284,3994,"lam",41,"Hya"
50414,89254,4042,"eps",22,"Sex"
48437,85558,3909,"gam",8,"Sex"
49865,88333,3996," ",18,"Sex"
49812,88195,3989," ",17,"Sex"
50140,88764,," ",21,"Sex"
50100,88697,," ",20,"Sex"
51135,90485,," ",27,"Sex"
50885,90044,4082," ",25,"Sex"
51362,90882,4116,"del",29,"Sex"
51117,90473,," ",26,"Sex"
51437,90994,4119,"bet",30,"Sex"
55084,98058,4368,"phi",74,"Leo"
56127,99998,4432,"e",87,"Leo"
56647,100920,4471,"ups",91,"Leo"
57757,102870,4540,"bet",5,"Vir"
55650,99055,4400," ",79,"Leo"
56445,100563,4455," ",89,"Leo"
52913,93742,4229," ",40,"Sex"
53907,95578,4299,"p02",61,"Leo"
53273,94402,4253,"p01",,"Leo"
54849,97585,4356,"p05",69,"Leo"
54049,95849,4306,"p03",62,"Leo"
52316,92588,4182," ",33,"Sex"
53423,94672,4265," ",55,"Leo"
52584,93102,4201," ",36,"Sex"
55249,98366,4381," ",76,"Leo"
55137,98118,4371," ",75,"Leo"
54336,96436,4319,"p04",65,"Leo"
55945,99648,4418,"tau",84,"Leo"
55846,99491,4414," ",83,"Leo"
55791,99329,4410," ",80,"Leo"
55434,98664,4386,"sig",77,"Leo"
53807,95345,4291,"d",58,"Leo"
53824,95382,4294,"c",59,"Leo"
54182,96097,4310,"chi",63,"Leo"
48341,85364,3899," ",6,"Sex"
46982,82870,3814,"A",33,"Hya"
46221,81420,3738," ",28,"Hya"
47431,83618,3845,"iot",35,"Hya"
49641,87887,3981,"alf",15,"Sex"
49329,87301,3961," ",13,"Sex"
46509,81997,3759,"tau01",31,"Hya"
46776,82446,3787,"tau02",32,"Hya"
45336,79469,3665,"the",22,"Hya"
48414,85504,3906," ",7,"Sex"
48990,86611,3945," ",12,"Sex"
48273,85217,3893," ",4,"Sex"
48552,85762,," ",9,"Sex"
47310,83425,3834," ",2,"Sex"
47205,83240,3827," ",10,"Leo"
51451,91011,," ",31,"Sex"
50684,89688,4064," ",23,"Sex"
52401,92749,," ",34,"Sex"
52452,92841,4193," ",35,"Sex"
50027,88547,4004," ",19,"Sex"
51775,91612,4146," ",48,"Leo"
50851,89962,4077," ",43,"Leo"
53449,94705,4267," ",56,"Leo"
52660,93244,4207," ",37,"Sex"
51802,91636,4148," ",49,"Leo"
51624,91316,4133,"rho",47,"Leo"
52911,93702,4227,"l",53,"Leo"
49530,87682,3973," ",14,"Sex"
51008,90254,4088," ",44,"Leo"
51213,90569,4101," ",45,"Leo"
49029,86663,3950,"pi.",29,"Leo"
49637,87837,3980,"A",31,"Leo"
49669,87901,3982,"alf",32,"Leo"
48883,86360,3937,"nu.",27,"Leo"
49929,88355,3998," ",34,"Leo"
52689,93291,4209,"k",52,"Leo"
51585,91232,4127," ",46,"Leo"
50333,89056,4035," ",37,"Leo"
50755,89774,4070," ",42,"Leo"
58510,104181,4585,"b",7,"Vir"
59309,105702,4629," ",11,"Vir"
57380,102212,4517,"nu.",3,"Vir"
58590,104321,4589,"pi.",8,"Vir"
58110,103484,4559,"A02",6,"Vir"
60353,107705,4708," ",17,"Vir"
61960,110411,4828,"rho",30,"Vir"
61246,109217,4777," ",20,"Vir"
58948,104979,4608,"omi",9,"Vir"
59608,106251,4650," ",12,"Vir"
56779,101153,4483,"ome",1,"Vir"
57562,102510,4528,"A01",4,"Vir"
57328,102124,4515,"ksi",2,"Vir"
55642,99028,4399,"iot",78,"Leo"
59819,106661,4663," ",6,"Com"
57632,102647,4534,"bet",94,"Leo"
58159,103578,4564,"o",95,"Leo"
59352,105778,4632," ",3,"Com"
61937,110377,4824," ",27,"Vir"
62933,112097,4900," ",41,"Vir"
62394,111164,4855," ",34,"Vir"
62478,111308,4861," ",28,"Com"
62541,111397,4865," ",29,"Com"
62356,111067,4851," ",27,"Com"
62807,111862,4884," ",32,"Com"
61571,109742,4801," ",25,"Com"
63355,112769,4920," ",36,"Com"
63533,113095,4929," ",38,"Com"
64241,114378,4968,"alf",42,"Com"
62886,112033,4894," ",35,"Com"
63948,113848,4946," ",39,"Com"
63950,113866,4949," ",40,"Com"
60202,107383,4697," ",11,"Com"
61415,109510,4791," ",24,"Com"
61418,109511,4792," ",24,"Com"
60957,108765,4756," ",20,"Com"
59501,106057,4643," ",5,"Com"
60087,107168,4685," ",8,"Com"
61724,110024,4815," ",26,"Com"
61394,109485,4789," ",23,"Com"
61295,109307,4780," ",22,"Com"
60941,108722,4753," ",18,"Com"
61071,108945,4766," ",21,"Com"
60904,108662,4752," ",17,"Com"
60891,108651,4751," ",17,"Com"
62576,111469,4869," ",30,"Com"
62763,111812,4883," ",31,"Com"
55016,97907,4365,"n",73,"Leo"
56242,100180,4437," ",88,"Leo"
56080,99902,4426," ",85,"Leo"
55765,99285,4408," ",81,"Leo"
54879,97633,4359,"the",70,"Leo"
55533,98824,," ",71,"Leo"
56473,100600,4456," ",90,"Leo"
57565,102509,4527," ",93,"Leo"
56146,100006,4433," ",86,"Leo"
56975,101484,4495," ",92,"Leo"
53954,95608,4300,"b",60,"Leo"
52686,93257,4208,"m",51,"Leo"
54872,97603,4357,"del",68,"Leo"
54951,97778,4362," ",72,"Leo"
54388,96528,4322," ",64,"Leo"
54487,96738,4332," ",67,"Leo"
53417,94601,4259," ",54,"Leo"
53492,94747,4270," ",50,"LMi"
54196,96094,," ",51,"LMi"
54347,96418,," ",52,"LMi"
58858,104827,4602," ",2,"Com"
58661,104452,," ",1,"Com"
59847,106714,4667," ",7,"Com"
59468,105981,4640," ",4,"Com"
60351,107700,4707," ",12,"Com"
60514,107966,4717," ",13,"Com"
60746,108382,4738," ",16,"Com"
60697,108283,4733," ",14,"Com"
60742,108381,4737,"gam",15,"Com"
60098,107213,4688," ",9,"Com"
60123,107276,," ",10,"Com"
57029,101606,4501," ",62,"UMa"
56997,101501,4496," ",61,"UMa"
89642,167618,6832,"eta",,"Sgr"
87261,161892,6630,"G",,"Sco"
90185,169022,6879,"eps",20,"Sgr"
89637,167647,6833,"RS",,"Sgr"
90260,169233,6888," ",18,"Sgr"
89931,168454,6859,"del",19,"Sgr"
88635,165135,6746,"gam",10,"Sgr"
88567,164975,6742,"W",,"Sgr"
87072,161592,6616,"X",3,"Sgr"
85423,157919,6492,"d",45,"Oph"
85084,157236,6459," ",43,"Oph"
88469,164794,6736," ",9,"Sgr"
88380,164584,6724," ",7,"Sgr"
89153,166464,6801," ",11,"Sgr"
87706,162978,6672," ",63,"Oph"
88116,163955,6700," ",4,"Sgr"
92041,173300,7039,"phi",27,"Sgr"
92855,175191,7121,"sig",34,"Sgr"
92845,175190,7120,"nu.02",35,"Sgr"
92761,174974,7116,"nu.01",32,"Sgr"
90496,169916,6913,"lam",22,"Sgr"
91066,171237,6965," ",25,"Sgr"
91004,171115,6961," ",24,"Sgr"
91689,172546,7011," ",26,"Sgr"
92111,173460,7046," ",28,"Sgr"
92480,174309,7088," ",30,"Sgr"
93683,177241,7217,"omi",39,"Sgr"
94141,178524,7264,"pi.",41,"Sgr"
94820,180540,7304,"d",43,"Sgr"
95188,181645,7344,"rho02",45,"Sgr"
95168,181577,7340,"rho01",44,"Sgr"
93085,175775,7150,"ksi02",37,"Sgr"
92747,174947,7114," ",33,"Sgr"
93057,175687,7145,"ksi01",36,"Sgr"
92390,174116,7078," ",29,"Sgr"
89369,167036,6816," ",14,"Sgr"
90289,169420,6896," ",21,"Sgr"
89341,166937,6812,"mu.",13,"Sgr"
89439,167264,6822," ",15,"Sgr"
89440,167263,6823," ",16,"Sgr"
89567,167570,," ",17,"Sgr"
89968,168608,6863,"Y",,"Sgr"
90595,170296,6930,"gam",,"Sct"
84405,155885,6401,"A",36,"Oph"
85755,158643,6519,"c",51,"Oph"
84970,157056,6453,"the",42,"Oph"
84626,156349,6424,"omi",39,"Oph"
84625,156350,6425,"omi",39,"Oph"
85340,157792,6486,"b",44,"Oph"
83196,153363,6310," ",26,"Oph"
84893,156897,6445,"ksi",40,"Oph"
86736,160915,6595," ",58,"Oph"
86060,159376,6545," ",52,"Oph"
86263,159876,6561,"ksi",55,"Ser"
82925,152849,6291," ",24,"Oph"
83331,153727,6321," ",29,"Oph"
81724,150416,6196," ",24,"Sco"
84012,155125,6378,"eta",35,"Oph"
84880,156928,6446,"nu.",53,"Ser"
88258,164358,6715," ",6,"Sgr"
91726,172748,7020,"del",,"Sct"
91117,171443,6973,"alf",,"Sct"
90135,169156,6884,"zet",,"Sct"
86565,160613,6581,"omi",56,"Ser"
88048,163917,6698,"nu.",64,"Oph"
86284,159975,6567,"mu.",57,"Oph"
88404,164764,6733,"tau",69,"Oph"
87495,162714,6661,"Y",,"Oph"
88175,164259,6710,"zet",57,"Ser"
96950,186005,7489,"e02",55,"Sgr"
96808,185644,7476,"e01",54,"Sgr"
95176,181615,7342,"ups",46,"Sgr"
97650,187532,7553," ",51,"Aql"
96327,184492,7430," ",37,"Aql"
97928,188154,7584," ",56,"Aql"
97967,188294,7594," ",57,"Aql"
97966,188293,7593," ",57,"Aql"
94385,179406,7279," ",20,"Aql"
96483,184915,7446,"kap",39,"Aql"
95820,183344,7402,"U",,"Aql"
96556,185124,7460," ",42,"Aql"
95066,181391,7333,"f",26,"Aql"
95937,183630,7414,"e",36,"Aql"
100977,194939,7821," ",68,"Aql"
99631,192107,7720," ",66,"Aql"
99473,191692,7710,"the",65,"Aql"
101101,195135,7831," ",69,"Aql"
101692,196321,7873," ",70,"Aql"
101847,196574,7884,"l",71,"Aql"
101936,196758,7897," ",1,"Aqr"
98844,190299,7667," ",62,"Aql"
99171,191067,7690," ",64,"Aql"
97980,188350,7596," ",58,"Aql"
96468,184930,7447,"iot",41,"Aql"
96807,185762,7480," ",45,"Aql"
97804,187929,7570,"eta",55,"Aql"
91845,173009,7032,"eps",,"Sct"
92202,173819,7066,"R",,"Sct"
93026,175751,7149,"eta",,"Sct"
93429,176678,7193,"i",12,"Aql"
93805,177756,7236,"lam",16,"Aql"
92175,173764,7063,"bet",,"Sct"
92524,174589,7101," ",8,"Aql"
92117,173654,7059," ",5,"Aql"
93717,177463,7225,"h",15,"Aql"
93526,176984,7209,"g",14,"Aql"
95073,181440,7336,"d",27,"Aql"
95585,182835,7387,"nu.",32,"Aql"
94913,181053,7321," ",24,"Aql"
94885,180972,7319," ",23,"Aql"
94477,179761,7287," ",21,"Aql"
93051,175869,7158," ",64,"Ser"
89962,168723,6869,"eta",58,"Ser"
90642,170474,6935,"c",60,"Ser"
90844,170920,6957," ",61,"Ser"
91322,171978,6993,"e",,"Ser"
90441,169985,6918,"d",59,"Ser"
89918,168656,6866," ",74,"Oph"
91975,173370,7040," ",4,"Aql"
92946,175638,7141,"the01",63,"Ser"
92951,175639,7142,"the02",63,"Ser"
92872,175515,7135," ",62,"Ser"
95793,183324,7400,"c",35,"Aql"
95501,182640,7377,"del",30,"Aql"
96665,185507,7474,"sig",44,"Aql"
94727,180482,7303," ",22,"Aql"
96229,184406,7429,"mu.",38,"Aql"
98036,188512,7602,"bet",60,"Aql"
97229,186689,7519,"ups",49,"Aql"
97938,188310,7595,"ksi",59,"Aql"
97649,187642,7557,"alf",53,"Aql"
98823,190327,7669,"tau",63,"Aql"
97278,186791,7525,"gam",50,"Aql"
97675,187691,7560,"omi",54,"Aql"
98103,188728,7610,"phi",61,"Aql"
97473,187259,7544,"pi.",52,"Aql"
96957,186203,7497,"chi",47,"Aql"
96931,186122,7493," ",46,"Aql"
94068,178596,7266," ",19,"Aql"
95002,181383,7332,"ome02",29,"Aql"
94834,180868,7315,"ome01",25,"Aql"
93867,178125,7248," ",18,"Aql"
93747,177724,7235,"zet",17,"Aql"
95447,182572,7373,"b",31,"Aql"
97139,186547,7511,"psi",48,"Aql"
96840,185936,7486,"QS",,"Aql"
94982,181333,7331,"A",28,"Aql"
96516,185194,7463,"eps",4,"Sge"
95398,182490,7369," ",2,"Sge"
95435,182571,," ",3,"Sge"
80569,148184,6118,"chi",7,"Oph"
80894,148786,6147,"phi",8,"Oph"
82369,151769,6243," ",20,"Oph"
81377,149757,6175,"zet",13,"Oph"
82730,152601,6280," ",23,"Oph"
79005,144708,6002," ",11,"Sco"
79540,145897,6048,"chi",17,"Sco"
78727,144069,5977,"ksi",,"Sco"
79375,145570,6031,"psi",15,"Sco"
79672,146233,6060," ",18,"Sco"
78436,143459,5959," ",50,"Lib"
79387,145607,6033," ",16,"Sco"
80628,148367,6129,"ups",3,"Oph"
79882,146791,6075,"eps",2,"Oph"
79593,146051,6056,"del",1,"Oph"
81300,149661,6171," ",12,"Oph"
85365,157950,6493," ",47,"Oph"
83262,153687,6318," ",30,"Oph"
84514,156266,6415," ",41,"Oph"
86831,161270,6609," ",61,"Oph"
82037,151133,6224," ",16,"Oph"
81734,150557,6205," ",14,"Oph"
82480,152127,6255," ",21,"Oph"
82162,151431,6232," ",19,"Oph"
84500,156247,6414,"U",38,"Oph"
85355,157999,6498,"sig",49,"Oph"
77464,141378,5875," ",30,"Ser"
77516,141513,5881,"mu.",32,"Ser"
77660,141851,5895,"b",36,"Ser"
77227,140873,5863,"A02",25,"Ser"
80179,147449,6093,"sig",50,"Ser"
75342,137006,5721," ",8,"Ser"
76133,138562,5772,"A01",11,"Ser"
76427,139137,5799," ",14,"Ser"
74689,135559,5679," ",4,"Ser"
73536,132933,5594," ",2,"Ser"
75119,136514,5710," ",6,"Ser"
75761,137898,5746," ",10,"Ser"
74975,136202,5694," ",5,"Ser"
77578,141680,5888,"ome",34,"Ser"
77052,140538,5853,"psi",23,"Ser"
78685,144046,5976," ",43,"Ser"
77622,141795,5892,"eps",37,"Ser"
77070,140573,5854,"alf",24,"Ser"
77257,141004,5868,"lam",27,"Ser"
80883,148857,6149,"lam",10,"Oph"
81634,150379,6194," ",36,"Her"
81641,150378,6195," ",37,"Her"
82216,151525,6234,"l",45,"Her"
81991,151090,," ",41,"Her"
79488,145892,6047," ",9,"Her"
81007,149121,6158,"n",28,"Her"
80351,147869,6111,"o",21,"Her"
82402,151956,6250,"k",47,"Her"
83000,153210,6299,"kap",27,"Oph"
82073,151217,6228,"i",43,"Her"
82673,152614,6281,"iot",25,"Oph"
79072,145002,6010," ",47,"Ser"
77910,142500,5919," ",40,"Ser"
79007,144874,6004," ",45,"Ser"
79047,144937,," ",46,"Ser"
79634,146279,," ",13,"Her"
81008,149161,6159,"h",29,"Her"
80463,148112,6117,"ome",24,"Her"
79492,145958,," ",49,"Ser"
88290,164577,6723," ",68,"Oph"
88522,165174,6747,"V986",,"Oph"
88601,165341,6752,"p",70,"Oph"
88192,164353,6714," ",67,"Oph"
88149,164284,6712," ",66,"Oph"
88964,166233,6795," ",73,"Oph"
87108,161868,6629,"gam",62,"Oph"
86742,161096,6603,"bet",60,"Oph"
88765,165760,6770," ",71,"Oph"
88771,165777,6771," ",72,"Oph"
85998,159480,6548,"f",53,"Oph"
86032,159561,6556,"alf",55,"Oph"
88128,164349,6713," ",93,"Her"
93203,176303,7172," ",11,"Aql"
93179,176232,7167," ",10,"Aql"
93244,176411,7176,"eps",13,"Aql"
92161,173880,7069," ",111,"Her"
93124,176155,7165,"FF",,"Aql"
95498,182762,7385," ",4,"Vul"
95560,182919,7390," ",5,"Vul"
94910,181182,7326,"U",,"Sge"
94620,180317,7301," ",1,"Sge"
94703,180554,7306," ",1,"Vul"
88899,166230,6794," ",101,"Her"
88886,166182,6787," ",102,"Her"
90139,169414,6895," ",109,"Her"
89861,168720,6868," ",106,"Her"
92043,173667,7061," ",110,"Her"
92614,174933,7113," ",112,"Her"
92818,175492,7133," ",113,"Her"
84671,156681,6433,"e",,"Oph"
84177,155644,6393," ",37,"Oph"
84345,156014,6406,"alf01",64,"Her"
83613,154494,6355," ",60,"Her"
83430,154143,6337," ",32,"Oph"
86254,160181,6571," ",79,"Her"
82526,152308,6268," ",49,"Her"
82802,152879,6293," ",54,"Her"
85157,157728,6480," ",73,"Her"
84887,157198,6457," ",70,"Her"
85693,158899,6526,"lam",76,"Her"
84054,155514,6391," ",63,"Her"
82987,153287,6305," ",57,"Her"
84379,156164,6410,"del",65,"Her"
88331,164852,6738," ",96,"Her"
88267,164668,6729," ",95,"Her"
88657,165625,6765," ",98,"Her"
88346,164900,6741," ",97,"Her"
89773,168532,6860," ",105,"Her"
88817,166046,6782," ",100,"Her"
88818,166045,6781," ",100,"Her"
86731,161239,6608," ",84,"Her"
86667,161074,6602," ",83,"Her"
87194,162211,6644," ",87,"Her"
87747,163506,6685," ",89,"Her"
87933,163993,6703,"ksi",92,"Her"
89935,168914,6877,"t",107,"Her"
88794,166014,6779,"omi",103,"Her"
89925,168913,6876," ",108,"Her"
88745,165908,6775,"b",99,"Her"
89172,167006,6815,"A",104,"Her"
86974,161797,6623,"mu.",86,"Her"
85790,159139,6533," ",78,"Her"
87998,164136,6707,"nu.",94,"Her"
89826,168775,6872,"kap",1,"Lyr"
87808,163770,6695,"the",91,"Her"
25776,39780,2059," ",31,"Men"
23148,34172,1716,"ksi",,"Men"
20297,29116,1456,"nu.",,"Men"
20049,28525,1426,"del",,"Men"
26394,39091,2022,"pi.",,"Men"
27566,40953,2125,"kap",,"Men"
26264,38602,1991,"iot",,"Men"
15201,21024,1025,"iot",,"Hyi"
17678,24512,1208,"gam",,"Hyi"
814,636,30,"gam03",,"Oct"
8366,11604,550,"tau02",,"Hyi"
11757,16522,776,"mu.",,"Hyi"
7879,10859,516,"tau01",,"Hyi"
8991,12363,593,"sig",,"Hyi"
13244,18293,872,"nu.",,"Hyi"
11095,15248,715,"kap",,"Hyi"
14131,19400,939,"the",,"Hyi"
25918,37763,1953,"gam",,"Men"
22871,32440,1629,"eta",,"Men"
27369,39810,2062,"lam",,"Men"
23467,33285,1677,"bet",,"Men"
21949,30612,1541,"mu.",,"Men"
24372,34649,1744,"the",,"Dor"
27534,39844,2064,"eps",,"Dor"
27100,39014,2015,"del",,"Dor"
17440,23817,1175,"bet",,"Ret"
16245,22001,1083,"kap",,"Ret"
20384,28093,1395,"eta",,"Ret"
20020,27657,1372,"the",,"Ret"
19780,27256,1336,"alf",,"Ret"
21479,29712,1492,"R",,"Dor"
19921,27442,1355,"eps",,"Ret"
18744,25705,1264,"gam",,"Ret"
18597,25422,1247,"del",,"Ret"
18772,25728,1266,"iot",,"Ret"
2021,2151,98,"bet",,"Hyi"
122,224889,9084,"the",,"Oct"
3781,4815,236,"lam",,"Hyi"
1902,2051,,"ksi",,"Tuc"
2629,3112,139,"the",,"Tuc"
4293,5457,270,"lam02",,"Tuc"
4084,5190,252,"lam01",,"Tuc"
5896,7788,377,"kap",,"Tuc"
11001,15008,705,"del",,"Hyi"
10418,14141,667,"pi.01",,"Hyi"
10513,14287,678,"pi.02",,"Hyi"
12394,16978,806,"eps",,"Hyi"
12876,17566,837,"zet",,"Hyi"
8751,11733,,"eta01",,"Hyi"
8928,11977,570,"eta02",,"Hyi"
1647,1685,83,"pi.",,"Tuc"
3330,4089,187,"rho",,"Tuc"
5268,6793,332,"iot",,"Tuc"
9236,12311,591,"alf",,"Hyi"
13884,18866,909,"bet",,"Hor"
12871,17504,833,"gam",,"Hor"
13141,17848,852,"nu.",,"Hor"
15330,20766,1006,"zet01",,"Ret"
15371,20807,1010,"zet02",,"Ret"
11258,15233,714,"lam",,"Hor"
14240,19319,934,"mu.",,"Hor"
12484,16920,802,"zet",,"Hor"
12225,16555,778,"eta",,"Hor"
12653,17051,810,"iot",,"Hor"
27890,40409,2102," ",36,"Dor"
26001,37297,1917," ",28,"Dor"
26069,37350,1922,"bet",,"Dor"
25429,36189,1836,"lam",,"Dor"
23693,33262,1674,"zet",,"Dor"
27530,39523,2042,"gam",,"Pic"
25098,35580,1801,"kap",,"Pic"
25303,35860,1818,"the",,"Pic"
24829,35072,1767,"zet",,"Pic"
22040,30478,1530,"kap",,"Dor"
21281,29305,1465,"alf",,"Dor"
22531,31203,1563,"iot",,"Pic"
22534,31204,1564,"iot",,"Pic"
19893,27290,1338,"gam",,"Dor"
21914,30185,1516,"lam",,"Pic"
23649,33042,1663,"eta02",,"Pic"
23482,32743,1649,"eta01",,"Pic"
21060,28873,1443,"del",,"Cae"
27321,39060,2020,"bet",,"Pic"
28328,40808,2120,"eta",,"Col"
22488,30985,1557,"nu.",,"Cae"
21770,29875,1502,"alf",,"Cae"
21998,30202,1518,"lam",,"Cae"
25859,36597,1862,"eps",,"Col"
23596,32846,1653,"gam",,"Cae"
